461 1248.220859 2.775E-19 7.600E+00.07980.077  171.52870.750.000000              1              0                    P 14      532210 1 1 1 1 1 0    27.0   29.0
461 1249.281151 9.860E-22 1.650E+01.08340.085 1306.22860.750.000000              2              1                    P  6      532210 1 1 1 1 1 0    11.0   13.0
461 1250.006045 2.890E-19 7.670E+00.08020.078  148.66500.750.000000              1              0                    P 13      532210 1 1 1 1 1 0    25.0   27.0
461 1250.962216 8.640E-22 1.690E+01.08390.087 1296.49580.750.000000              2              1                    P  5      532210 1 1 1 1 1 0     9.0   11.0
461 1251.779805 2.966E-19 7.740E+00.08060.079  127.43260.750.000000              1              0                    P 12      532210 1 1 1 1 1 0    23.0   25.0
461 1252.631596 7.178E-22 1.740E+01.08440.089 1288.38480.750.000000              2              1                    P  4      532210 1 1 1 1 1 0     7.0    9.0
461 1253.542106 3.001E-19 7.820E+00.08100.079  107.83180.750.000000              1              0                    P 11      532210 1 1 1 1 1 0    21.0   23.0
461 1254.289260 5.581E-22 1.840E+01.08490.091 1281.89590.750.000000              2              1                    P  3      532210 1 1 1 1 1 0     5.0    7.0
461 1255.292918 2.985E-19 7.900E+00.08150.080   89.86310.750.000000              1              0                    P 10      532210 1 1 1 1 1 0    19.0   21.0
461 1255.935175 3.829E-22 2.060E+01.08540.093 1277.02900.750.000000              2              1                    P  2      532210 1 1 1 1 1 0     3.0    5.0
461 1257.032208 2.917E-19 7.990E+00.08190.081   73.52670.750.000000              1              0                    P  9      532210 1 1 1 1 1 0    17.0   19.0
461 1257.569310 1.946E-22 3.100E+01.08600.096 1273.78440.750.000000              2              1                    P  1      532210 1 1 1 1 1 0     1.0    3.0
461 1258.759945 2.791E-19 8.090E+00.08240.082   58.82310.750.000000              1              0                    P  8      532210 1 1 1 1 1 0    15.0   17.0
461 1260.476097 2.612E-19 8.220E+00.08290.084   45.75250.750.000000              1              0                    P  7      532210 1 1 1 1 1 0    13.0   15.0
461 1260.802108 1.964E-22 1.040E+01.08600.096 1272.16210.750.000000              2              1                    R  0      532210 1 1 1 1 1 0     3.0    1.0
461 1262.180631 2.373E-19 8.370E+00.08340.085   34.31520.750.000000              1              0                    P  6      532210 1 1 1 1 1 0    11.0   13.0
461 1262.400708 3.925E-22 1.260E+01.08540.093 1273.78440.750.000000              2              1                    R  1      532210 1 1 1 1 1 0     5.0    3.0
461 1263.873517 2.079E-19 8.570E+00.08390.087   24.51130.750.000000              1              0                    P  5      532210 1 1 1 1 1 0     9.0   11.0
461 1263.987399 5.824E-22 1.360E+01.08490.091 1277.02900.750.000000              2              1                    R  2      532210 1 1 1 1 1 0     7.0    5.0
461 1265.554722 1.737E-19 8.870E+00.08440.089   16.34110.750.000000              1              0                    P  4      532210 1 1 1 1 1 0     7.0    9.0
461 1265.562148 7.616E-22 1.420E+01.08440.089 1281.89590.750.000000              2              1                    R  3      532210 1 1 1 1 1 0     9.0    7.0
461 1267.124923 9.251E-22 1.460E+01.08390.087 1288.38480.750.000000              2              1                    R  4      532210 1 1 1 1 1 0    11.0    9.0
461 1267.224215 1.348E-19 9.360E+00.08490.091    9.80480.750.000000              1              0                    P  3      532210 1 1 1 1 1 0     5.0    7.0
